repeat,effect_size,severity,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
1,0.45,0.25,source,0.16924488802928514,0.002,1.0,141.7644162246427,180.0,2.1827815267507042,1.0
1,0.45,0.25,target,0.1402694380061174,0.002,1.0,180.0,136.4392248291213,1.0,2.262574102169735
1,0.45,0.25,both,0.10521300098068508,0.048,1.0,141.7644162246427,136.4392248291213,2.1827815267507042,2.262574102169735
1,0.45,0.25,crump,0.1742783318636897,0.002,1.0,164.0,159.0,1.0,1.0
1,0.6,0.25,unweighted,0.2080460248056699,0.002,1.0,180.0,180.0,1.0,1.0
1,0.6,0.25,source,0.17837117465328606,0.002,1.0,141.7644162246427,180.0,2.1827815267507042,1.0
1,0.6,0.25,target,0.15133841796764888,0.002,1.0,180.0,136.4392248291213,1.0,2.262574102169735
1,0.6,0.25,both,0.1155591595183445,0.006,1.0,141.7644162246427,136.4392248291213,2.1827815267507042,2.262574102169735
1,0.6,0.25,crump,0.18473114219324485,0.002,1.0,164.0,159.0,1.0,1.0
2,0.0,0.25,unweighted,0.1532447302240512,0.002,1.0,180.0,180.0,1.0,1.0
2,0.0,0.25,source,0.12315090485408861,0.002,1.0,150.13052548181173,180.0,2.0857909285125316,1.0
2,0.0,0.25,target,0.10862125134727235,0.02,1.0,180.0,151.44165616875128,1.0,1.8816930442120625
2,0.0,0.25,both,0.07718700881198579,0.758,0.0,150.13052548181173,151.44165616875128,2.0857909285125316,1.8816930442120625
2,0.0,0.25,crump,0.1517180866236289,0.002,1.0,179.0,179.0,1.0,1.0
2,0.15,0.25,unweighted,0.1619674516079866,0.002,1.0,180.0,180.0,1.0,1.0
2,0.15,0.25,source,0.13115336467875452,0.002,1.0,150.13052548181173,180.0,2.0857909285125316,1.0
2,0.15,0.25,target,0.11805874755519455,0.002,1.0,180.0,151.44165616875128,1.0,1.8816930442120625
2,0.15,0.25,both,0.08535437078212811,0.51,0.0,150.13052548181173,151.44165616875128,2.0857909285125316,1.8816930442120625
2,0.15,0.25,crump,0.16048842927785673,0.002,1.0,179.0,179.0,1.0,1.0
2,0.3,0.25,unweighted,0.1705906083295229,0.002,1.0,180.0,180.0,1.0,1.0
2,0.3,0.25,source,0.13898909884909894,0.002,1.0,150.13052548181173,180.0,2.0857909285125316,1.0
2,0.3,0.25,target,0.12783588183771263,0.002,1.0,180.0,151.44165616875128,1.0,1.8816930442120625
2,0.3,0.25,both,0.09377447610013603,0.254,0.0,150.13052548181173,151.44165616875128,2.0857909285125316,1.8816930442120625
2,0.3,0.25,crump,0.16915083872716796,0.002,1.0,179.0,179.0,1.0,1.0
2,0.45,0.25,unweighted,0.1788050221002896,0.002,1.0,180.0,180.0,1.0,1.0
2,0.45,0.25,source,0.14676801461266523,0.002,1.0,150.13052548181173,180.0,2.0857909285125316,1.0
2,0.45,0.25,target,0.1370513395054995,0.002,1.0,180.0,151.44165616875128,1.0,1.8816930442120625
2,0.45,0.25,both,0.1020978763112474,0.086,0.0,150.13052548181173,151.44165616875128,2.0857909285125316,1.8816930442120625
2,0.45,0.25,crump,0.17740128595127164,0.002,1.0,179.0,179.0,1.0,1.0
2,0.6,0.25,unweighted,0.18810746932632222,0.002,1.0,180.0,180.0,1.0,1.0
2,0.6,0.25,source,0.15501249111313278,0.002,1.0,150.13052548181173,180.0,2.0857909285125316,1.0
2,0.6,0.25,target,0.14775905926238597,0.002,1.0,180.0,151.44165616875128,1.0,1.8816930442120625
2,0.6,0.25,both,0.1112620450277026,0.01,1.0,150.13052548181173,151.44165616875128,2.0857909285125316,1.8816930442120625
2,0.6,0.25,crump,0.18673782036434367,0.002,1.0,179.0,179.0,1.0,1.0
3,0.0,0.25,unweighted,0.16934089125133364,0.002,1.0,180.0,180.0,1.0,1.0
3,0.0,0.25,source,0.1473406395609687,0.002,1.0,151.04120226017574,180.0,1.8529626589250903,1.0
3,0.0,0.25,target,0.11483660051655357,0.004,1.0,180.0,146.49383024640608,1.0,2.101606333931751
3,0.0,0.25,both,0.089840694483014,0.348,0.0,151.04120226017574,146.49383024640608,1.8529626589250903,2.101606333931751
3,0.0,0.25,crump,0.1675898625630759,0.002,1.0,178.0,179.0,1.0,1.0
3,0.15,0.25,unweighted,0.1768638345907636,0.002,1.0,180.0,180.0,1.0,1.0
3,0.15,0.25,source,0.1541561929417843,0.002,1.0,151.04120226017574,180.0,1.8529626589250903,1.0
3,0.15,0.25,target,0.1232744388433784,0.002,1.0,180.0,146.49383024640608,1.0,2.101606333931751
3,0.15,0.25,both,0.09712920220879107,0.128,0.0,151.04120226017574,146.49383024640608,1.8529626589250903,2.101606333931751
3,0.15,0.25,crump,0.17514754066090676,0.002,1.0,178.0,179.0,1.0,1.0
3,0.3,0.25,unweighted,0.1851501524157903,0.002,1.0,180.0,180.0,1.0,1.0
3,0.3,0.25,source,0.1617831664767527,0.002,1.0,151.04120226017574,180.0,1.8529626589250903,1.0
3,0.3,0.25,target,0.13276925306302523,0.002,1.0,180.0,146.49383024640608,1.0,2.101606333931751
3,0.3,0.25,both,0.10545811108211872,0.052,0.0,151.04120226017574,146.49383024640608,1.8529626589250903,2.101606333931751
3,0.3,0.25,crump,0.18348128204472494,0.002,1.0,178.0,179.0,1.0,1.0
3,0.45,0.25,unweighted,0.19378075750647766,0.002,1.0,180.0,180.0,1.0,1.0
3,0.45,0.25,source,0.16990811118807847,0.002,1.0,151.04120226017574,180.0,1.8529626589250903,1.0
