repeat,scenario,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
17,target_only,target,0.09848954284331107,0.084,0.0,180.0,167.79648552884046,1.0,1.5997834273309774
17,target_only,both,0.08750212015654546,0.368,0.0,174.67467559288647,167.79648552884046,1.466533741969338,1.5997834273309774
17,both_sides,unweighted,0.15760349698978815,0.002,1.0,180.0,180.0,1.0,1.0
17,both_sides,source,0.1337003697989951,0.002,1.0,155.17967003871755,180.0,1.8794556166340652,1.0
17,both_sides,target,0.11232848149622926,0.01,1.0,180.0,153.08006315498136,1.0,1.9338302573231048
17,both_sides,both,0.0880469891923458,0.344,0.0,155.17967003871755,153.08006315498136,1.8794556166340652,1.9338302573231048
18,source_only,unweighted,0.1079914428059747,0.01,1.0,180.0,180.0,1.0,1.0
18,source_only,source,0.08119325759685644,0.624,0.0,164.0514272833791,180.0,1.6768409116568022,1.0
18,source_only,target,0.09534786938583188,0.128,0.0,180.0,173.84891902723504,1.0,1.5727173163335373
18,source_only,both,0.06935818323617564,0.954,0.0,164.0514272833791,173.84891902723504,1.6768409116568022,1.5727173163335373
18,target_only,unweighted,0.13317329103795153,0.002,1.0,180.0,180.0,1.0,1.0
18,target_only,source,0.12260678340617953,0.002,1.0,174.54290255313015,180.0,1.4692870542453897,1.0
18,target_only,target,0.10500364768264668,0.024,1.0,180.0,169.23342191526413,1.0,1.4833949612935793
18,target_only,both,0.09465054733133718,0.17,0.0,174.54290255313015,169.23342191526413,1.4692870542453897,1.4833949612935793
18,both_sides,unweighted,0.16389447873799726,0.002,1.0,180.0,180.0,1.0,1.0
18,both_sides,source,0.1315189266391397,0.002,1.0,148.6686191212107,180.0,2.0054347578481906,1.0
18,both_sides,target,0.12080842227742467,0.004,1.0,180.0,151.87501281077223,1.0,1.860423017220204
18,both_sides,both,0.08584788687708295,0.454,0.0,148.6686191212107,151.87501281077223,2.0054347578481906,1.860423017220204
19,source_only,unweighted,0.10094628867550678,0.064,0.0,180.0,180.0,1.0,1.0
19,source_only,source,0.0793141814875459,0.676,0.0,167.4911023484491,180.0,1.6045975770519287,1.0
19,source_only,target,0.08934426923894359,0.342,0.0,180.0,174.4318864717604,1.0,1.3871687559953185
19,source_only,both,0.068786474155347,0.948,0.0,167.4911023484491,174.4318864717604,1.6045975770519287,1.3871687559953185
19,target_only,unweighted,0.14237862273281512,0.002,1.0,180.0,180.0,1.0,1.0
19,target_only,source,0.13321841596676254,0.002,1.0,172.84160713044722,180.0,1.58118232981353,1.0
19,target_only,target,0.10252694149912114,0.056,0.0,180.0,161.59107377775845,1.0,1.5951522416369521
19,target_only,both,0.09341788194542669,0.242,0.0,172.84160713044722,161.59107377775845,1.58118232981353,1.5951522416369521
19,both_sides,unweighted,0.15710098879743942,0.002,1.0,180.0,180.0,1.0,1.0
19,both_sides,source,0.13031753803956964,0.002,1.0,150.8021768919752,180.0,1.9916913640189957,1.0
19,both_sides,target,0.10682230244908027,0.032,1.0,180.0,147.84654970681953,1.0,1.8626800345185788
19,both_sides,both,0.0781805637942628,0.726,0.0,150.8021768919752,147.84654970681953,1.9916913640189957,1.8626800345185788
20,source_only,unweighted,0.09759054736320683,0.112,0.0,180.0,180.0,1.0,1.0
20,source_only,source,0.07755172373441141,0.772,0.0,168.46553174686014,180.0,1.4905482901492804,1.0
20,source_only,target,0.08618559566949531,0.46,0.0,180.0,174.8484799202195,1.0,1.4266464914756094
20,source_only,both,0.06694980637888026,0.962,0.0,168.46553174686014,174.8484799202195,1.4905482901492804,1.4266464914756094
