repeat,effect_size,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
6,0.6,source,0.11736043462307312,0.005,1.0,173.74961033104617,180.0,1.4399905781453264,1.0
6,0.6,target,0.12652979618663018,0.005,1.0,180.0,165.1239123162674,1.0,1.5989066362719428
6,0.6,both,0.10972117490382265,0.03,1.0,173.74961033104617,165.1239123162674,1.4399905781453264,1.5989066362719428
6,0.6,crump,0.13456903577960677,0.005,1.0,180.0,180.0,1.0,1.0
6,0.6,overlap,0.13504055264339693,0.005,1.0,179.52053138237082,178.19072711459938,0.24999996837547486,0.2499999830761133
7,0.0,unweighted,0.08231679240969364,0.565,0.0,180.0,180.0,1.0,1.0
7,0.0,source,0.06981452445243974,0.925,0.0,173.85470538286862,180.0,1.4319244415651666,1.0
7,0.0,target,0.0667222661249344,0.96,0.0,180.0,167.82064751024316,1.0,1.4471609714080398
7,0.0,both,0.055533156364943395,1.0,0.0,173.85470538286862,167.82064751024316,1.4319244415651666,1.4471609714080398
7,0.0,crump,0.08231679240969364,0.565,0.0,180.0,180.0,1.0,1.0
7,0.0,overlap,0.07956380995875623,0.715,0.0,179.67584648537832,178.86499046859166,0.24999873959104765,0.24999999270632026
7,0.15,unweighted,0.09555183470507544,0.135,0.0,180.0,180.0,1.0,1.0
7,0.15,source,0.08187691877854485,0.59,0.0,173.85470538286862,180.0,1.4319244415651666,1.0
7,0.15,target,0.08043209980857939,0.675,0.0,180.0,167.82064751024316,1.0,1.4471609714080398
7,0.15,both,0.06780190993191942,0.955,0.0,173.85470538286862,167.82064751024316,1.4319244415651666,1.4471609714080398
7,0.15,crump,0.09555183470507544,0.135,0.0,180.0,180.0,1.0,1.0
7,0.15,overlap,0.09353515131468634,0.21,0.0,179.67584648537832,178.86499046859166,0.24999873959104765,0.24999999270632026
7,0.3,unweighted,0.11071150453436976,0.025,1.0,180.0,180.0,1.0,1.0
7,0.3,source,0.09608952360317527,0.135,0.0,173.85470538286862,180.0,1.4319244415651666,1.0
7,0.3,target,0.09642216266655326,0.135,0.0,180.0,167.82064751024316,1.0,1.4471609714080398
7,0.3,both,0.08253826421633437,0.59,0.0,173.85470538286862,167.82064751024316,1.4319244415651666,1.4471609714080398
7,0.3,crump,0.11071150453436976,0.025,1.0,180.0,180.0,1.0,1.0
7,0.3,overlap,0.1094060316286298,0.025,1.0,179.67584648537832,178.86499046859166,0.24999873959104765,0.24999999270632026
7,0.45,unweighted,0.12727024748513946,0.005,1.0,180.0,180.0,1.0,1.0
7,0.45,source,0.11208691312355924,0.025,1.0,173.85470538286862,180.0,1.4319244415651666,1.0
7,0.45,target,0.11423719317005232,0.005,1.0,180.0,167.82064751024316,1.0,1.4471609714080398
7,0.45,both,0.09947261539192598,0.085,0.0,173.85470538286862,167.82064751024316,1.4319244415651666,1.4471609714080398
7,0.45,crump,0.12727024748513946,0.005,1.0,180.0,180.0,1.0,1.0
7,0.45,overlap,0.12693100305710622,0.005,1.0,179.67584648537832,178.86499046859166,0.24999873959104765,0.24999999270632026
7,0.6,unweighted,0.1445062242798354,0.005,1.0,180.0,180.0,1.0,1.0
7,0.6,source,0.12888889195396763,0.005,1.0,173.85470538286862,180.0,1.4319244415651666,1.0
7,0.6,target,0.1333087517755019,0.005,1.0,180.0,167.82064751024316,1.0,1.4471609714080398
7,0.6,both,0.11779932662871184,0.005,1.0,173.85470538286862,167.82064751024316,1.4319244415651666,1.4471609714080398
7,0.6,crump,0.1445062242798354,0.005,1.0,180.0,180.0,1.0,1.0
7,0.6,overlap,0.14500376921583838,0.005,1.0,179.67584648537832,178.86499046859166,0.24999873959104765,0.24999999270632026
8,0.0,unweighted,0.08479674592287761,0.495,0.0,180.0,180.0,1.0,1.0
8,0.0,source,0.07005052037326712,0.935,0.0,170.5571177940066,180.0,1.7567064900605556,1.0
8,0.0,target,0.06585540343268664,0.97,0.0,180.0,159.8596519357978,1.0,1.8709166086284965
